unique	unique_null	directional	directional_null	edit_distance
1139160	1139160	1179815	1179815	Single_UMI
0	38	0	34	0
39687	28	134	22	1
8114	274	6946	205	2
7170	1348	7024	1033	3
13502	5112	12084	3517	4
29978	13126	29898	8972	5
21304	25881	21017	18705	6
29557	55524	28905	44329	7
21487	51149	23866	41143	8
2017	16702	2262	11835	9
372	4006	397	2738	10
0	0	0	0	11
